,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,97.635,1.989,1.025,0.322,0.163
Green,2.360,96.700,84.694,16.409,10.728
Purple,0.000,0.496,9.998,0.000,0.000
Orange,0.000,0.475,3.641,76.187,3.709
Chocolate,0.005,0.340,0.642,7.082,85.401
