,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,98.106,0.338,0.182,0.032,0.001
Green,1.866,89.682,68.478,19.871,4.319
Magenta,0.000,8.965,25.050,0.005,0.000
Orange,0.000,0.551,5.323,73.201,0.104
Chocolate,0.028,0.464,0.968,6.890,95.576
