,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,97.524,1.043,1.100,0.381,0.093
Green,2.470,95.591,76.480,19.191,6.766
Magenta,0.000,2.244,13.645,0.000,0.000
Orange,0.000,0.810,7.781,75.444,0.505
Chocolate,0.006,0.312,0.994,4.984,92.636
