,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,97.477,1.223,1.053,0.366,0.099
Green,2.517,94.030,77.847,18.498,7.184
Magenta,0.000,3.280,12.112,0.000,0.000
Orange,0.000,1.100,8.035,75.427,0.674
Chocolate,0.006,0.367,0.953,5.709,92.044
