,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,96.427,1.422,0.944,0.369,0.116
Green,3.534,86.681,64.319,18.093,6.195
Purple,0.000,11.234,33.159,0.103,0.000
Orange,0.000,0.000,0.149,65.654,0.042
Chocolate,0.039,0.663,1.429,15.781,93.646
