,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,3.717,6.510,8.000,11.320,9.988,7.058,6.044
Continuum_2,4.170,6.445,9.162,11.982,10.717,8.363,7.582
Continuum_3,3.227,5.244,6.797,8.074,7.493,5.619,4.944
