Name,Flux,Error_flux
Hbeta,0.33602502363317893,0.036401524980102705
Halpha,1.4132175449516273,0.023614173122454448
[SII]6716,0.2977787852484335,0.012478896046150847
[SII]6731,0.20317731710835282,0.01016922146255522
HeII4687,0.0,0.006329311909158919
HeI5876,0.03455791372934337,0.0032375080764995706
[OIII]4959,0.05790152616231919,0.008792073579043895
[OIII]5007,0.17370457848695756,0.008792073579043895
[OI]6300,0.03765516578992899,0.004466306381024277
[OI]6364,0.012551721929976329,0.004466306381024277
[NII]6548,0.09850762622101576,0.013459312251080026
[NII]6583,0.2955228786630473,0.013459312251080026
