,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.014,0.033,0.041,0.062,0.056,0.032,0.027
Continuum_2,0.013,0.029,0.035,0.051,0.052,0.028,0.025
Continuum_3,0.011,0.024,0.030,0.044,0.047,0.024,0.023
