,Component 1,Component 2,Component 3,Component 4
I_e,7.3006,3.0984,6.7093,2.2964
r_e,2.0203,17.0536,10.5345,5.3178
n,0.1012,0.1000,0.5192,0.8036
x_0,33.1172,37.2883,45.3262,61.4698
