,Component 1,Component 2,Component 3,Component 4
I_e,0.3239,0.0487,0.2693,0.0266
r_e,2.5826,46.4359,11.7435,16.4768
n,1.6848,1.7464,0.5845,1.5881
x_0,31.8677,35.8803,46.0246,61.1844
