,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.029,0.021,0.028,0.033,0.027
Continuum_2,0.023,0.016,0.021,0.025,0.020
Continuum_3,0.023,0.017,0.020,0.033,0.020
