,SNR,Signal,Noise
Spettro_1,5.189,0.083,0.016
Spettro_2,19.785,0.398,0.020
Spettro_3,168.024,3.046,0.018
Spettro_4,162.091,2.123,0.013
Spettro_5,105.584,1.297,0.012
Spettro_6,936.067,17.936,0.019
Spettro_7,245.670,4.636,0.019
Spettro_8,14.075,0.255,0.018
Spettro_9,6.438,0.123,0.019
Spettro_10,36.478,0.588,0.016
Spettro_11,102.508,1.974,0.019
Spettro_12,687.996,7.977,0.012
Spettro_13,149.701,2.253,0.015
Spettro_14,86.303,1.498,0.017
Spettro_15,145.796,3.494,0.024
Spettro_16,452.617,8.277,0.018
Spettro_17,371.424,8.272,0.022
Spettro_18,124.399,1.709,0.014
Spettro_19,45.068,0.558,0.012
Spettro_20,28.960,0.322,0.011
