,SNR,Signal,Noise
Spettro_1,-1.030,-0.018,0.017
Spettro_2,1.734,0.032,0.018
Spettro_3,16.210,0.325,0.020
Spettro_4,12.752,0.345,0.027
Spettro_5,7.095,0.124,0.017
Spettro_6,38.163,0.857,0.022
Spettro_7,29.209,0.568,0.019
Spettro_8,0.184,0.004,0.024
Spettro_9,0.761,0.017,0.023
Spettro_10,2.048,0.045,0.022
Spettro_11,3.428,0.067,0.020
Spettro_12,23.855,0.593,0.025
Spettro_13,8.511,0.161,0.019
Spettro_14,1.648,0.039,0.024
Spettro_15,8.808,0.234,0.027
Spettro_16,30.649,0.783,0.026
Spettro_17,52.189,1.039,0.020
Spettro_18,18.578,0.308,0.017
Spettro_19,1.767,0.042,0.024
Spettro_20,1.165,0.021,0.018
