,SNR,Signal,Noise
Spettro_1,1.284,0.030,0.024
Spettro_2,4.130,0.136,0.033
Spettro_3,19.101,0.747,0.039
Spettro_4,13.714,0.476,0.035
Spettro_5,8.247,0.306,0.037
Spettro_6,45.561,2.277,0.050
Spettro_7,22.915,0.737,0.032
Spettro_8,4.535,0.109,0.024
Spettro_9,4.073,0.127,0.031
Spettro_10,7.702,0.228,0.030
Spettro_11,15.251,0.477,0.031
Spettro_12,27.495,1.208,0.044
Spettro_13,15.530,0.566,0.036
Spettro_14,9.313,0.387,0.042
Spettro_15,16.358,0.723,0.044
Spettro_16,43.238,1.523,0.035
Spettro_17,51.467,1.457,0.028
Spettro_18,19.641,0.383,0.019
Spettro_19,7.771,0.202,0.026
Spettro_20,5.081,0.117,0.023
