,SNR,Signal,Noise
Spettro_1,2.210,0.035,0.016
Spettro_2,5.412,0.109,0.020
Spettro_3,32.610,0.591,0.018
Spettro_4,31.752,0.416,0.013
Spettro_5,25.522,0.313,0.012
Spettro_6,183.654,3.519,0.019
Spettro_7,52.943,0.999,0.019
Spettro_8,5.991,0.108,0.018
Spettro_9,0.723,0.014,0.019
Spettro_10,10.626,0.171,0.016
Spettro_11,25.641,0.494,0.019
Spettro_12,148.246,1.719,0.012
Spettro_13,40.956,0.617,0.015
Spettro_14,21.626,0.375,0.017
Spettro_15,29.605,0.709,0.024
Spettro_16,83.060,1.519,0.018
Spettro_17,60.748,1.353,0.022
Spettro_18,20.989,0.288,0.014
Spettro_19,12.141,0.150,0.012
Spettro_20,5.520,0.061,0.011
