,SNR,Signal,Noise
Spettro_1,2.021,0.046,0.023
Spettro_2,4.886,0.153,0.031
Spettro_3,14.320,0.534,0.037
Spettro_4,9.480,0.314,0.033
Spettro_5,6.954,0.246,0.035
Spettro_6,32.655,1.556,0.048
Spettro_7,16.454,0.504,0.031
Spettro_8,4.243,0.097,0.023
Spettro_9,2.016,0.060,0.030
Spettro_10,5.805,0.164,0.028
Spettro_11,11.115,0.332,0.030
Spettro_12,19.661,0.824,0.042
Spettro_13,11.499,0.399,0.035
Spettro_14,7.904,0.313,0.040
Spettro_15,12.836,0.541,0.042
Spettro_16,32.690,1.098,0.034
Spettro_17,39.294,1.061,0.027
Spettro_18,13.101,0.243,0.019
Spettro_19,4.994,0.124,0.025
Spettro_20,4.613,0.101,0.022
