,SNR,Signal,Noise
Spettro_1,-0.187,-0.003,0.017
Spettro_2,1.821,0.044,0.024
Spettro_3,22.501,0.513,0.023
Spettro_4,27.417,0.569,0.021
Spettro_5,6.143,0.161,0.026
Spettro_6,104.810,2.437,0.023
Spettro_7,81.677,1.984,0.024
Spettro_8,0.568,0.014,0.025
Spettro_9,-1.343,-0.024,0.018
Spettro_10,3.298,0.080,0.024
Spettro_11,14.058,0.395,0.028
Spettro_12,62.416,1.684,0.027
Spettro_13,29.693,0.621,0.021
Spettro_14,10.315,0.205,0.020
Spettro_15,19.429,0.605,0.031
Spettro_16,64.518,1.993,0.031
Spettro_17,71.560,2.284,0.032
Spettro_18,31.281,0.758,0.024
Spettro_19,5.817,0.102,0.017
Spettro_20,0.887,0.017,0.020
