,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.077,0.142,0.148,0.054,0.012
Continuum_2,0.069,0.124,0.146,0.056,0.014
Continuum_3,0.060,0.109,0.138,0.054,0.013
