,SNR,Signal,Noise
Component_1,0.718,0.016,0.022
Component_2,0.013,0.000,0.036
Component_3,-0.303,-0.013,0.044
Component_4,-1.426,-0.036,0.026
Component_5,0.793,0.008,0.010
