,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.028,0.080,0.080,0.230,0.116,0.101,0.052
Continuum_2,0.027,0.068,0.071,0.181,0.112,0.088,0.049
Continuum_3,0.024,0.057,0.063,0.147,0.102,0.075,0.043
