,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.006,0.008,0.007,0.013,0.009,0.008,0.006
Continuum_2,0.005,0.007,0.007,0.012,0.008,0.007,0.005
Continuum_3,0.006,0.009,0.009,0.012,0.009,0.008,0.009
