,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,4.942,9.515,10.850,17.217,12.974,12.429,8.359
Continuum_2,5.299,9.622,10.894,15.252,14.116,12.332,9.278
Continuum_3,3.770,6.579,7.007,12.225,11.376,9.023,4.876
