Name,Flux,Error flux
Hgamma,1.009833021063022,0.11588039765638403
Hbeta,3.00787554803745,0.25181601197490944
Halpha,13.227924968484169,0.22429402561957024
[SII]6716,2.056328887611874,0.11031695008830567
[SII]6731,1.4198410436358389,0.08945865431012359
HeII4687,0.010053571886401585,0.011217151712302057
HeI5876,0.42869300837066815,0.058196197759622766
[OIII]5007_d,4.067845974546959,0.248490976352086
[OI]6300_d,0.29228803353991345,0.012873162429748649
[NII]6583_d,3.7683736672947874,0.17293825263318882
