,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.8689,3.9678,10.9261,9.2024,4.9860,0.8829
r_e error,2.0104,5.1726,6.5615,1.7579,3.5821,1.5694
n error,0.4619,3.1859,0.7966,0.2383,0.9919,0.3225
x_0 error,0.0662,0.0005,0.9446,2.7694,0.1772,0.2427
