,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,2.0512,2.3900,5.9371,9.4749,4.1099,2.1174
r_e,7.8307,5.2600,9.8445,5.4140,4.2790,4.0182
n,2.5521,3.1575,1.1287,0.4391,1.9117,0.7572
x_0,16.5114,41.6152,64.9756,62.4695,72.6706,91.4012
