Name,Chi squared,Dof,Chi reduced
Halpha,9739.93745364394,88,110.68110742777206
Hbeta,1524.0242432402702,88,17.318457309548524
NII,11908.164613846206,88,135.32005243007052
SII,910.2586714372045,88,10.343848539059142
OIII,679.3041000314397,88,7.719364773084542
Continuum 1,47608.093745885686,88,541.0010652941555
Continuum 2,69610.14273968297,88,791.0243493145791
Continuum 3,18062.231773553092,88,205.25263379037605
