,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.089,0.114,0.270,0.199
Continuum_2,0.076,0.096,0.247,0.182
Continuum_3,0.058,0.076,0.217,0.158
