,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,65.561,12.893,11.524,3.893,0.776
Green,22.369,67.548,29.027,2.499,0.328
Purple,0.004,9.521,34.846,0.000,0.000
Orange,12.029,9.986,24.395,87.292,11.980
Chocolate,0.036,0.052,0.208,6.316,86.916
