,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,46.241,4.787,4.073,0.923,0.151
Green,1.963,55.693,4.738,0.000,0.000
Purple,49.232,37.051,83.606,26.550,4.615
Orange,2.559,2.458,7.510,67.358,3.224
Chocolate,0.004,0.011,0.073,5.169,92.010
