,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.068,0.226,0.348,0.128,0.065
Continuum_2,0.074,0.262,0.318,0.120,0.061
Continuum_3,0.069,0.269,0.270,0.100,0.053
