Line,Flux,Error flux
Hgamma,0.32778953159570556,0.06987681206993027
Hbeta,1.1821862828009515,0.14013922718016908
Halpha,8.93396970434469,0.22556508447687704
[SII]6716,1.5083998045099567,0.02322580834866249
[SII]6731,1.1122558213180724,0.029097328489800484
HeII4687,0.029173395339893025,0.010831722422610407
HeI5876,0.16885802801422717,0.02542776949242706
[OIII]5007_d,0.4890182127841988,0.038403471324213796
[OI]6300_d,0.18002001404748288,0.02293950454294304
[NII]6583_d,4.044843742781209,0.05828405054208045
