,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20,Spectrum_21,Spectrum_22,Spectrum_23,Spectrum_24
Continuum_1,1.888,3.183,3.812,5.189,4.276,4.407,3.513,3.865,4.864,9.110,11.223,12.383,16.765,16.383,9.336,11.843,9.142,9.039,10.273,8.468,4.415,3.313,1.473,2.324
Continuum_2,1.778,2.924,3.295,4.774,4.848,3.788,4.401,4.397,5.324,8.722,10.668,13.466,15.055,15.263,14.998,13.447,11.197,10.231,10.430,8.656,5.056,2.249,2.099,3.065
Continuum_3,1.821,2.244,2.498,3.499,2.972,3.049,2.708,2.505,3.939,5.794,7.253,8.541,12.206,12.095,10.905,10.730,8.122,6.840,6.867,4.509,3.014,2.207,1.372,1.851
