,SNR,Signal,Noise
Spettro_1,-0.039,-0.001,0.021
Spettro_2,1.966,0.036,0.018
Spettro_3,-0.954,-0.027,0.029
Spettro_4,11.149,0.253,0.023
Spettro_5,3.939,0.095,0.024
Spettro_6,1.752,0.037,0.021
Spettro_7,-1.069,-0.022,0.021
Spettro_8,0.474,0.013,0.027
Spettro_9,2.591,0.071,0.027
Spettro_10,21.328,0.570,0.027
Spettro_11,40.664,1.166,0.029
Spettro_12,30.247,1.128,0.037
Spettro_13,49.913,2.551,0.051
Spettro_14,-0.293,-0.015,0.051
Spettro_15,-2.513,-0.077,0.031
Spettro_16,-2.303,-0.068,0.030
Spettro_17,0.682,0.024,0.035
Spettro_18,18.792,0.563,0.030
Spettro_19,35.187,0.956,0.027
Spettro_20,85.545,2.112,0.025
Spettro_21,12.310,0.252,0.021
Spettro_22,0.134,0.003,0.021
Spettro_23,-1.732,-0.030,0.018
Spettro_24,-2.279,-0.036,0.016
