,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,3.898,0.066,0.017
Spettro_3,3.182,0.065,0.020
Spettro_4,13.785,0.220,0.016
Spettro_5,8.261,0.167,0.020
Spettro_6,4.906,0.100,0.020
Spettro_7,4.522,0.081,0.018
Spettro_8,5.021,0.094,0.019
Spettro_9,5.226,0.164,0.031
Spettro_10,14.422,0.440,0.031
Spettro_11,29.575,0.850,0.029
Spettro_12,22.275,0.952,0.043
Spettro_13,20.035,1.272,0.064
Spettro_14,5.744,0.373,0.065
Spettro_15,5.811,0.350,0.060
Spettro_16,6.554,0.281,0.043
Spettro_17,6.221,0.208,0.033
Spettro_18,28.724,0.488,0.017
Spettro_19,26.456,0.872,0.033
Spettro_20,51.022,1.456,0.029
Spettro_21,11.534,0.228,0.020
Spettro_22,3.128,0.060,0.019
Spettro_23,0.528,0.011,0.021
Spettro_24,2.076,0.042,0.020
