,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.798,53.209,15.691,0.926,4.853
Green,0.000,39.469,0.000,0.000,0.000
Purple,0.085,5.988,78.639,0.193,0.091
Orange,0.117,1.335,5.617,93.903,29.723
Chocolate,0.000,0.000,0.054,4.979,65.333
