,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.721,63.382,18.007,1.341,4.699
Green,0.000,27.132,0.000,0.000,0.000
Magenta,0.126,7.886,75.085,0.299,0.100
Orange,0.153,1.600,6.793,90.776,32.684
Chocolate,0.000,0.000,0.115,7.584,62.517
