,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.780,59.157,16.074,1.031,4.773
Green,0.000,33.599,0.000,0.000,0.000
Purple,0.094,5.894,77.351,0.204,0.096
Orange,0.126,1.350,6.480,92.846,31.255
Chocolate,0.000,0.000,0.096,5.920,63.876
