,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.950,52.654,15.273,2.338,2.649
Green,0.000,18.480,0.000,0.000,0.000
Purple,0.000,28.347,80.363,3.397,0.000
Orange,0.001,0.026,1.031,81.312,4.784
Chocolate,0.049,0.494,3.332,12.953,92.567
