,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.341,51.731,16.145,1.870,4.360
Green,0.000,28.639,0.000,0.000,0.000
Magenta,0.162,17.090,74.200,0.588,0.029
Orange,0.497,2.467,6.916,82.642,24.092
Chocolate,0.000,0.073,2.740,14.899,71.519
