,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20,Spectrum_21,Spectrum_22,Spectrum_23,Spectrum_24
Continuum_1,1.626,1.953,2.626,4.176,7.967,6.682,6.238,6.727,6.172,6.762,10.101,22.312,12.634,6.546,3.960,2.785,2.309,2.379,1.997,2.404,2.643,2.182,1.714,0.868
Continuum_2,1.030,1.225,1.456,2.207,3.557,3.710,4.150,4.102,3.532,4.321,4.827,11.572,10.775,3.291,2.432,1.292,1.239,1.391,1.061,1.185,1.394,1.094,0.747,0.896
Continuum_3,2.317,2.535,3.578,4.244,5.745,7.601,8.392,8.759,8.151,7.897,8.491,9.513,14.865,9.308,5.454,3.922,3.167,2.821,2.733,2.531,3.147,1.694,1.772,1.584
