,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,32.035,0.527,0.016
Spettro_5,194.996,2.521,0.013
Spettro_6,308.774,4.778,0.015
Spettro_7,105.862,1.710,0.016
Spettro_8,24.243,0.541,0.022
Spettro_9,54.442,0.836,0.015
Spettro_10,54.189,1.062,0.020
Spettro_11,34.775,0.837,0.024
Spettro_12,36.661,0.695,0.019
Spettro_13,40.930,1.193,0.029
Spettro_14,102.957,1.695,0.016
Spettro_15,96.424,1.075,0.011
Spettro_16,49.823,0.551,0.011
Spettro_17,24.948,0.346,0.014
Spettro_18,20.264,0.280,0.014
Spettro_19,15.940,0.283,0.018
Spettro_20,48.439,0.402,0.008
Spettro_21,47.497,0.530,0.011
Spettro_22,36.023,0.374,0.010
Spettro_23,20.347,0.222,0.011
Spettro_24,10.452,0.081,0.008
