,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,4.229,0.082,0.019
Spettro_5,13.572,0.331,0.024
Spettro_6,17.919,0.266,0.015
Spettro_7,3.902,0.088,0.022
Spettro_8,1.689,0.035,0.021
Spettro_9,4.197,0.095,0.023
Spettro_10,2.012,0.043,0.021
Spettro_11,0.458,0.011,0.023
Spettro_12,1.635,0.080,0.049
Spettro_13,4.044,0.126,0.031
Spettro_14,6.772,0.121,0.018
Spettro_15,6.048,0.094,0.016
Spettro_16,3.837,0.073,0.019
Spettro_17,0.920,0.010,0.011
Spettro_18,4.277,0.045,0.011
Spettro_19,1.489,0.021,0.014
Spettro_20,4.373,0.053,0.012
Spettro_21,1.521,0.024,0.016
Spettro_22,0.362,0.004,0.010
Spettro_23,1.687,0.024,0.015
Spettro_24,-3.275,-0.026,0.008
