,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,5.761,0.087,0.015
Spettro_5,36.906,0.477,0.013
Spettro_6,62.023,0.960,0.015
Spettro_7,23.043,0.408,0.018
Spettro_8,7.955,0.178,0.022
Spettro_9,15.927,0.245,0.015
Spettro_10,14.314,0.307,0.021
Spettro_11,10.906,0.288,0.026
Spettro_12,10.237,0.194,0.019
Spettro_13,13.346,0.389,0.029
Spettro_14,25.237,0.416,0.016
Spettro_15,23.358,0.285,0.012
Spettro_16,9.467,0.105,0.011
Spettro_17,4.766,0.066,0.014
Spettro_18,4.113,0.057,0.014
Spettro_19,3.236,0.057,0.018
Spettro_20,12.087,0.100,0.008
Spettro_21,11.477,0.117,0.010
Spettro_22,9.412,0.098,0.010
Spettro_23,7.787,0.078,0.010
Spettro_24,2.598,0.020,0.008
