,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20,Spectrum_21,Spectrum_22,Spectrum_23,Spectrum_24
Continuum_1,0.006,0.006,0.007,0.007,0.008,0.010,0.009,0.008,0.008,0.008,0.010,0.017,0.013,0.008,0.007,0.006,0.006,0.006,0.007,0.006,0.008,0.006,0.006,0.009
Continuum_2,0.012,0.012,0.014,0.012,0.014,0.018,0.014,0.014,0.015,0.013,0.016,0.025,0.023,0.017,0.013,0.016,0.013,0.011,0.015,0.012,0.014,0.012,0.015,0.011
Continuum_3,0.004,0.005,0.005,0.006,0.007,0.008,0.007,0.006,0.006,0.006,0.007,0.022,0.020,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006
