,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,20.125,0.268,0.013
Spettro_5,60.029,1.037,0.017
Spettro_6,56.481,0.835,0.015
Spettro_7,11.086,0.223,0.020
Spettro_8,8.510,0.158,0.019
Spettro_9,13.454,0.230,0.017
Spettro_10,7.761,0.206,0.026
Spettro_11,6.229,0.168,0.027
Spettro_12,2.206,0.185,0.084
Spettro_13,16.346,0.341,0.021
Spettro_14,25.715,0.432,0.017
Spettro_15,10.681,0.242,0.023
Spettro_16,10.061,0.099,0.010
Spettro_17,4.435,0.066,0.015
Spettro_18,1.465,0.031,0.021
Spettro_19,6.627,0.102,0.015
Spettro_20,6.714,0.119,0.018
Spettro_21,6.134,0.090,0.015
Spettro_22,2.528,0.033,0.013
Spettro_23,1.078,0.013,0.013
Spettro_24,0.984,0.013,0.013
