,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,13.388,0.259,0.019
Spettro_5,42.065,1.027,0.024
Spettro_6,60.258,0.894,0.015
Spettro_7,11.682,0.288,0.025
Spettro_8,4.914,0.103,0.021
Spettro_9,10.797,0.244,0.023
Spettro_10,6.165,0.144,0.023
Spettro_11,2.259,0.057,0.025
Spettro_12,3.768,0.184,0.049
Spettro_13,10.146,0.317,0.031
Spettro_14,16.415,0.293,0.018
Spettro_15,12.415,0.193,0.016
Spettro_16,7.061,0.134,0.019
Spettro_17,8.745,0.095,0.011
Spettro_18,6.017,0.063,0.011
Spettro_19,4.108,0.063,0.015
Spettro_20,8.312,0.101,0.012
Spettro_21,6.255,0.097,0.016
Spettro_22,6.763,0.067,0.010
Spettro_23,2.358,0.034,0.015
Spettro_24,5.114,0.040,0.008
