Line,Flux,Error flux
Hgamma,0.03115425461424904,0.010130281343940907
Hbeta,0.0744360254897998,0.015032773370114919
Halpha,0.40394759636336686,0.013204768882416623
[SII]6716,0.07284122804898183,0.011197996449857814
[SII]6731,0.09399102676246161,0.00747796843619284
HeII4687,0.0,0.006314095586515011
HeI5876,0.0189204014510709,0.00842455725016931
[OIII]5007_d,0.1162962214369579,0.012100845711717536
[OI]6300_d,0.013456270906813159,0.007823069238761703
[NII]6583_d,0.12579014727206733,0.007812944338487206
