Name,Flux,Error_flux
Hbeta,0.566363760174752,0.05012679011106952
Halpha,2.8099672229688935,0.03917103666121529
[SII]6716,0.5782806437388233,0.023479711770320655
[SII]6731,0.41050080010569767,0.019388953086985752
HeII4687,0.0,0.0046718272520044025
HeI5876,0.0821067921847937,0.010788691095658276
[OIII]4959,0.16946020668972736,0.02817906668822018
[OIII]5007,0.508380620069182,0.02817906668822018
[OI]6300,0.06276306152454945,0.005416677932813433
[OI]6364,0.02092102050818315,0.005416677932813433
[NII]6548,0.1898277215757155,0.018309166266028448
[NII]6583,0.5694831647271466,0.018309166266028448
