Name,Flux,Error_flux
Hbeta,0.12087691615543045,0.017186240519305254
Halpha,0.7450094658226849,0.009929005563180701
[SII]6716,0.18219673067504732,0.003248566486549559
[SII]6731,0.15328028426993914,0.004033653257241886
HeII4687,0.014321305070905514,0.007347703882333493
HeI5876,0.02199121440863811,0.0027268041953400733
[OIII]4959,0.024891582876099466,0.007393733806299876
[OIII]5007,0.0746747486282984,0.007393733806299876
[OI]6300,0.020982994201763888,0.005904554244554847
[OI]6364,0.0069943314005879624,0.005904554244554847
[NII]6548,0.06244581832019325,0.006034092684564037
[NII]6583,0.18733745496057974,0.006034092684564037
