,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.0224,0.0279,0.0610,0.0385,0.0400
r_e,2.2421,2.3934,4.0166,2.6664,50.1774
n,1.8090,0.2193,0.1000,0.4544,0.3715
x_0,38.7187,61.6118,70.1980,75.9612,58.8095
