,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,4.2705,0.3560,0.4967,0.0228,0.4751
r_e,0.0847,1.0867,7.0992,4.1931,65.4504
n,4.6547,0.5484,0.6236,0.7461,0.8561
x_0,38.6571,61.3172,69.9049,74.4073,40.0005
