,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,2.0720,0.0000,0.0572,1.3859,0.0523
r_e,0.0105,0.0000,7.2005,0.1511,50.0697
n,5.1247,4.2268,1.0009,0.3527,0.3080
x_0,38.0964,62.6153,70.0000,75.0131,59.9634
