,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.0056,0.0072,0.0264,0.2713,0.0303
r_e,9.9129,7.3119,5.1498,0.1254,97.6904
n,2.6904,1.0047,0.8617,0.4144,0.5990
x_0,38.8253,61.6886,69.5484,75.8473,58.8095
