,SNR,Signal,Noise
Spettro_1,9.052,0.306,0.034
Spettro_2,24.218,0.632,0.026
Spettro_3,22.127,1.080,0.049
Spettro_4,67.843,2.997,0.044
Spettro_5,68.339,2.563,0.038
Spettro_6,30.046,0.774,0.026
Spettro_7,17.303,0.909,0.053
Spettro_8,7.821,0.460,0.059
Spettro_9,7.833,0.421,0.054
Spettro_10,25.310,1.372,0.054
Spettro_11,12.959,0.567,0.044
Spettro_12,13.335,0.668,0.050
Spettro_13,86.554,2.838,0.033
Spettro_14,212.302,13.653,0.064
Spettro_15,72.928,3.999,0.055
Spettro_16,28.600,1.310,0.046
Spettro_17,15.431,0.786,0.051
Spettro_18,20.433,0.894,0.044
Spettro_19,16.271,0.481,0.030
Spettro_20,10.796,0.232,0.022
