,SNR,Signal,Noise
Spettro_1,10.277,0.494,0.048
Spettro_2,40.278,1.218,0.030
Spettro_3,40.028,2.953,0.074
Spettro_4,83.738,6.934,0.083
Spettro_5,88.431,6.141,0.069
Spettro_6,23.079,1.383,0.060
Spettro_7,46.194,1.536,0.033
Spettro_8,7.483,0.587,0.079
Spettro_9,6.398,0.755,0.118
Spettro_10,32.551,2.753,0.085
Spettro_11,11.088,1.030,0.093
Spettro_12,8.538,0.839,0.098
Spettro_13,63.803,5.311,0.083
Spettro_14,237.877,29.749,0.125
Spettro_15,112.763,8.787,0.078
Spettro_16,32.720,3.108,0.095
Spettro_17,16.179,1.508,0.093
Spettro_18,14.127,1.184,0.084
Spettro_19,17.172,0.867,0.050
Spettro_20,8.864,0.254,0.029
