,SNR,Signal,Noise
Spettro_1,2.065,0.139,0.067
Spettro_2,4.732,0.245,0.052
Spettro_3,5.856,0.462,0.079
Spettro_4,9.857,0.819,0.083
Spettro_5,5.044,0.500,0.099
Spettro_6,2.192,0.196,0.089
Spettro_7,3.600,0.247,0.069
Spettro_8,2.225,0.200,0.090
Spettro_9,1.216,0.119,0.098
Spettro_10,3.412,0.336,0.098
Spettro_11,2.521,0.258,0.102
Spettro_12,2.166,0.225,0.104
Spettro_13,12.185,0.779,0.064
Spettro_14,33.281,3.699,0.111
Spettro_15,12.475,0.942,0.076
Spettro_16,3.763,0.417,0.111
Spettro_17,2.128,0.353,0.166
Spettro_18,2.114,0.211,0.100
Spettro_19,2.090,0.111,0.053
Spettro_20,2.777,0.082,0.030
