,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,0.162,0.209,0.398,0.546,0.529,0.298,0.409,0.436,0.533,0.509,0.427,0.538,0.558,0.955,0.505,0.629,0.613,0.356,0.161,0.093
Continuum_2,0.159,0.207,0.357,0.468,0.454,0.286,0.391,0.428,0.508,0.498,0.442,0.509,0.522,0.790,0.446,0.543,0.506,0.305,0.160,0.106
Continuum_3,0.150,0.194,0.316,0.411,0.401,0.271,0.375,0.412,0.483,0.488,0.439,0.486,0.494,0.689,0.397,0.484,0.428,0.262,0.151,0.105
