,SNR,Signal,Noise
Spettro_1,30.143,0.597,0.020
Spettro_2,58.664,1.001,0.017
Spettro_3,54.533,1.473,0.027
Spettro_4,74.424,2.994,0.040
Spettro_5,71.196,2.904,0.041
Spettro_6,39.507,1.114,0.028
Spettro_7,37.230,1.380,0.037
Spettro_8,16.135,0.684,0.042
Spettro_9,19.541,0.918,0.047
Spettro_10,51.588,2.163,0.042
Spettro_11,30.603,1.088,0.036
Spettro_12,32.523,1.098,0.034
Spettro_13,117.096,3.983,0.034
Spettro_14,317.699,14.184,0.045
Spettro_15,123.842,5.247,0.042
Spettro_16,74.400,2.216,0.030
Spettro_17,35.402,1.154,0.033
Spettro_18,42.992,1.145,0.027
Spettro_19,34.536,0.700,0.020
Spettro_20,8.763,0.315,0.036
