Name,Flux,Error flux
Hgamma,0.2756474875736246,0.07230540419969621
Hbeta,1.0086778693701948,0.07385753217222826
Halpha,4.074840628947941,0.05343969700758465
[SII]6716,0.3933146126568101,0.06227913492028963
[SII]6731,0.46371301090344,0.048490789197542544
HeII4687,0.007347815342638842,0.025276066994093533
HeI5876,0.0959513088746968,0.01817022406711555
[OIII]5007_d,0.7980503072847096,0.04388438959658937
[OI]6300_d,0.08657687273829004,0.03224505215900002
[NII]6583_d,2.349058367621236,0.07547831801191097
