,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.039,0.041,0.044,0.036
Continuum_2,0.022,0.021,0.026,0.023
Continuum_3,0.019,0.019,0.018,0.015
