,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.041,0.039,0.054,0.035
Continuum_2,0.027,0.023,0.032,0.023
Continuum_3,0.021,0.019,0.024,0.016
