,Component 1,Component 2,Component 3,Component 4
I_e,0.3399,0.8079,1.2003,0.0194
r_e,3.8676,8.2262,1.5350,49.0467
n,1.3171,1.3864,0.1404,2.1173
x_0,34.0449,48.0222,54.1241,67.1388
