,Component 1,Component 2,Component 3,Component 4
I_e,1.6005,0.6270,0.1820,0.3425
r_e,1.3202,49.8673,4.6937,8.7683
n,2.0111,2.6273,2.4968,1.3769
x_0,35.1785,47.9133,54.7519,65.7153
