,Component 1,Component 2,Component 3,Component 4
I_e,0.3245,0.2261,0.3962,0.0086
r_e,1.8563,15.5069,1.4152,49.9943
n,0.6393,1.8657,0.2198,2.1282
x_0,34.3530,47.8458,54.2827,66.2954
